"","Flight Number","Destination","Arrival Time","Off Time","Arrival Time Minutes","Off Time Minutes","Aircraft","Passengers","Flight Type","Arrival Time Actual","Off Time Actual","Arrival Time Actual Minutes","Off Time Actual Minutes"
"1","AA1000","TPA","1106","1205",666,725,"2","150","Domestic","1119","1159",679,719
"2","AA1004","AUS","530","700",330,420,"2","150","Domestic","534","704",334,424
"3","AA1008","IAD","1740","1855",1060,1135,"2","150","Domestic","1717","1852",1037,1132
"4","AA1010","STL","1920","2005",1160,1205,"2","150","Domestic","1853","1957",1133,1197
"5","AA1023","LAX","1929","2220",1169,1340,"2","150","Domestic","1932","2224",1172,1344
"6","AA1034","MEM","1025","1155",625,715,"2","150","Domestic","1149","1319",709,799
"7","AA103","SJC","923","1040",563,640,"2","150","Domestic","951","1047",591,647
"8","AA1054","IAH","805","850",485,530,"2","150","Domestic","754","844",474,524
"9","AA1055","PIT","1750","1855",1070,1135,"2","150","Domestic","1737","1846",1057,1126
"10","AA1062","MCI","540","710",340,430,"2","150","Domestic","537","707",337,427
"11","AA1072","PHL","1440","1725",880,1045,"2","150","Domestic","1458","1734",898,1054
"12","AA1075","ELP","1914","1915",1154,1155,"2","150","Domestic","1901","1954",1141,1194
"13","AA1077","SLC","1640","1805",1000,1085,"2","150","Domestic","1627","1806",987,1086
"14","AA1080","LGA","804","935",484,575,"2","150","Domestic","811","936",491,576
"15","AA1087","ATL","1233","1335",753,815,"2","150","Domestic","1224","1333",744,813
"16","AA1094","BOS","944","1150",584,710,"2","150","Domestic","955","1245",595,765
"17","AA1100","MSY","730","1020",450,620,"2","150","Domestic","729","1018",449,618
"18","AA1101","ABQ","1315","1445",795,885,"2","150","Domestic","1310","1440",790,880
"19","AA1104","LGA","600","730",360,450,"2","150","Domestic","601","731",361,451
"20","AA1121","DCA","1548","1645",948,1005,"2","150","Domestic","1533","1641",933,1001
"21","AA1129","IND","1115","1215",675,735,"2","150","Domestic","1057","1209",657,729
"22","AA1137","MFE","1450","1535",890,935,"2","150","Domestic","1451","1530",891,930
"23","AA1142","ORD","1905","2010",1145,1210,"2","150","Domestic","1848","2003",1128,1203
"24","AA1148","LGA","1418","1520",858,920,"2","150","Domestic","1405","1516",845,916
"25","AA1149","PSP","915","1045",555,645,"2","150","Domestic","907","1037",547,637
"26","AA1159","SAN","1233","1350",753,830,"2","150","Domestic","1219","1344",739,824
"27","AA1160","RDU","617","705",377,425,"2","150","Domestic","616","703",376,423
"28","AA1163","CLT","1345","1435",825,875,"2","150","Domestic","1324","1439",804,879
"29","AA1164","LGA","1550","1700",950,1020,"2","150","Domestic","1546","1703",946,1023
"30","AA1165","PHX","805","910",485,550,"2","150","Domestic","840","933",520,573
"31","AA1170","LGA","1351","1637",831,997,"2","150","Domestic","1400","1654",840,1014
"32","AA1179","MSY","1125","1215",685,735,"2","150","Domestic","1107","1213",667,733
"33","AA1181","DAY","1945","2025",1185,1225,"2","150","Domestic","1934","2018",1174,1218
"34","AA1184","DEN","1145","1245",705,765,"2","150","Domestic","1137","1244",697,764
"35","AA1191","BNA","1055","1155",655,715,"2","150","Domestic","1053","1148",653,708
"36","AA1192","SLC","909","1040",549,640,"2","150","Domestic","1003","1053",603,653
"37","AA1194","SAN","1427","1545",867,945,"2","150","Domestic","1417","1539",857,939
"38","AA1196","SAN","2110","2215",1270,1335,"2","150","Domestic","2106","2210",1266,1330
"39","AA1198","TPA","1250","1330",770,810,"2","150","Domestic","1246","1327",766,807
"40","AA1201","LGA","1058","1200",658,720,"2","150","Domestic","1029","1206",629,726
"41","AA1206","MSP","1739","1850",1059,1130,"2","150","Domestic","1735","1853",1055,1133
"42","AA1207","RDU","1720","1820",1040,1100,"2","150","Domestic","1715","1817",1035,1097
"43","AA1209","SMF","905","1035",545,635,"2","150","Domestic","1006","1136",606,696
"44","AA1210","MSP","930","1025",570,625,"2","150","Domestic","904","1042",544,642
"45","AA1211","BOS","535","705",335,425,"2","150","Domestic","536","706",336,426
"46","AA1212","MCO","1340","1445",820,885,"2","150","Domestic","1342","1443",822,883
"47","AA1213","SAT","735","825",455,505,"2","150","Domestic","741","825",461,505
"48","AA1214","SAN","1614","1720",974,1040,"2","150","Domestic","1626","1717",986,1037
