FlightIndex,FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber,num_connecting_pax
1,AA1000,Y,TPA,DFW,1106,1205,666,725,1119,1159,679.0,719.0,2.0,Domestic,0,68,C11,,2016-05-02 12:05:00,2016-05-02 15:31:00,2016-05-02 11:59:00,2016-05-02 15:19:00,1025,1171,2016-05-02 16:59,2016-05-02 19:19,N70504,82
2,AA1000,N,DFW,TPA,1805,1910,1085,1150,1757,1903,1077.0,1143.0,2.0,Domestic,98,0,,C31,2016-05-02 16:11:00,2016-05-02 18:05:00,2016-05-02 16:05:00,2016-05-02 17:57:00,1211,1385,2016-05-02 20:05,2016-05-02 22:57,N70504,52
3,AA1002,N,DFW,MIA,2230,2300,1350,1380,2222,2300,1342.0,1380.0,,,0,0,,A24,2016-05-02 20:14:00,2016-05-02 22:30:00,2016-05-02 20:16:00,2016-05-02 22:22:00,14,210,2016-05-03 00:16,2016-05-03 03:22,N369AA,0
4,AA1004,N,DFW,AUS,0953,1023,593,623,1014,1111,614.0,671.0,2.0,Domestic,19,0,,C33,2016-05-02 08:45:00,2016-05-02 09:53:00,2016-05-02 08:44:00,2016-05-02 10:14:00,825,893,2016-05-02 13:44,2016-05-02 15:14,N9622A,131
5,AA1004,Y,AUS,DFW,0530,0700,330,420,0530,0704,330.0,424.0,2.0,Domestic,0,126,C31,,2016-05-02 07:00:00,2016-05-02 08:03:00,2016-05-02 07:04:00,2016-05-02 08:10:00,720,783,2016-05-02 12:04,2016-05-02 13:10,N9622A,24
6,AA1008,Y,IAD,DFW,1740,1855,1060,1135,1717,1852,1037.0,1132.0,2.0,Domestic,0,106,C27,,2016-05-02 18:55:00,2016-05-02 22:50:00,2016-05-02 18:52:00,2016-05-02 22:39:00,1435,170,2016-05-02 23:52,2016-05-03 02:39,N564AA,44
7,AA1009,N,DFW,MCO,1504,1600,904,960,1448,1558,888.0,958.0,2.0,,102,0,,A29,2016-05-02 13:10:00,2016-05-02 15:04:00,2016-05-02 13:05:00,2016-05-02 14:48:00,1030,1204,2016-05-02 17:05,2016-05-02 19:48,N975AN,48
8,AA1010,Y,STL,DFW,1920,2005,1160,1205,1853,1957,1133.0,1197.0,2.0,Domestic,0,105,C29,,2016-05-02 20:05:00,2016-05-02 21:43:00,2016-05-02 19:57:00,2016-05-02 21:22:00,65,163,2016-05-03 00:57,2016-05-03 02:22,N489AA,45
9,AA1012,N,DFW,RSW,0930,1020,570,620,0945,1032,585.0,632.0,2.0,,0,0,,A9,2016-05-02 07:26:00,2016-05-02 09:30:00,2016-05-02 07:26:00,2016-05-02 09:45:00,686,870,2016-05-02 11:26,2016-05-02 14:45,N809NN,160
10,AA1015,N,DFW,AUS,0735,0825,455,505,0741,0825,461.0,505.0,2.0,,75,0,,C31,2016-05-02 06:30:00,2016-05-02 07:35:00,2016-05-02 06:39:00,2016-05-02 07:41:00,690,755,2016-05-02 11:39,2016-05-02 12:41,N9403W,75
11,AA1023,Y,LAX,DFW,2050,2220,1250,1340,2050,2224,1250.0,1344.0,2.0,Domestic,0,84,A19,,2016-05-02 22:20:00,2016-05-02 23:43:00,2016-05-02 22:24:00,2016-05-02 23:42:00,200,403,2016-05-03 03:24,2016-05-03 06:42,N148AN,66
12,AA102,N,DFW,HNL,0836,0906,516,546,0810,0906,490.0,546.0,1.0,,209,0,,C4,2016-05-02 20:05:00,2016-05-03 08:36:00,2016-05-02 19:58:00,2016-05-03 08:10:00,365,816,2016-05-03 05:58,2016-05-03 13:10,N387AM,91
13,AA1033,N,DFW,DCA,1300,1410,780,850,1327,1419,807.0,859.0,2.0,,96,0,,A11,2016-05-02 10:31:00,2016-05-02 13:00:00,2016-05-02 10:44:00,2016-05-02 13:27:00,871,1080,2016-05-02 14:44,2016-05-02 18:27,N922AN,54
14,AA1034,Y,MEM,DFW,1025,1155,625,715,1025,1319,625.0,799.0,2.0,Domestic,0,55,C29,,2016-05-02 11:55:00,2016-05-02 13:26:00,2016-05-02 13:19:00,2016-05-02 14:43:00,1015,1106,2016-05-02 18:19,2016-05-02 19:43,N8009T,95
15,AA1034,N,DFW,MEM,1554,1624,954,984,1702,1624,1022.0,2424.0,2.0,Domestic,105,0,,C35,2016-05-02 14:10:00,2016-05-02 15:54:00,2016-05-02 15:22:00,2016-05-02 17:02:00,1150,1254,2016-05-02 20:22,2016-05-02 22:02,N8009T,45
16,AA1035,N,DFW,RNO,1725,1820,1045,1100,1704,1815,1024.0,1095.0,2.0,,62,0,,C20,2016-05-02 12:06:00,2016-05-02 17:25:00,2016-05-02 11:58:00,2016-05-02 17:04:00,1146,1345,2016-05-02 18:58,2016-05-02 22:04,N70425,88
17,AA103,Y,SJC,DFW,0923,1040,563,640,0951,1047,591.0,647.0,2.0,Domestic,0,0,A25,,2016-05-02 10:40:00,2016-05-02 12:26:00,2016-05-02 10:47:00,2016-05-02 12:34:00,940,1166,2016-05-02 15:47,2016-05-02 19:34,N955NN,160
18,AA1040,N,DFW,YYZ,2055,2155,1255,1315,2053,2151,1253.0,1311.0,2.0,,150,0,,C31,2016-05-02 18:23:00,2016-05-02 20:55:00,2016-05-02 18:33:00,2016-05-02 20:53:00,1343,115,2016-05-02 22:33,2016-05-03 01:53,N470AA,0
19,AA1045,N,DFW,YUL,1104,1134,664,694,1059,1134,659.0,694.0,,,0,0,,C14,2016-05-02 07:50:00,2016-05-02 11:04:00,2016-05-02 07:40:00,2016-05-02 10:59:00,710,964,2016-05-02 11:40,2016-05-02 15:59,N9004F,0
20,AA1046,N,DFW,MCI,1910,2025,1150,1225,1905,2021,1145.0,1221.0,2.0,,117,0,,C17,2016-05-02 17:27:00,2016-05-02 19:10:00,2016-05-02 17:25:00,2016-05-02 19:05:00,1347,10,2016-05-02 22:25,2016-05-03 00:05,N9622A,33
21,AA1047,N,DFW,SLC,1058,1200,658,720,1029,1206,629.0,726.0,2.0,,54,0,,A17,2016-05-02 07:10:00,2016-05-02 10:58:00,2016-05-02 07:05:00,2016-05-02 10:29:00,790,958,2016-05-02 13:05,2016-05-02 15:29,N890NN,96
22,AA1052,N,DFW,RDU,1741,1835,1061,1115,1810,1856,1090.0,1136.0,2.0,,92,0,,C28,2016-05-02 15:37:00,2016-05-02 17:41:00,2016-05-02 15:56:00,2016-05-02 18:10:00,1177,1361,2016-05-02 19:56,2016-05-02 23:10,N481AA,58
23,AA1054,Y,IAH,DFW,0805,0850,485,530,0754,0844,474.0,524.0,2.0,Domestic,0,102,C19,,2016-05-02 08:50:00,2016-05-02 10:06:00,2016-05-02 08:44:00,2016-05-02 10:05:00,830,906,2016-05-02 13:44,2016-05-02 15:05,N477AA,48
24,AA1054,N,DFW,IAH,1215,1255,735,775,1219,1302,739.0,782.0,2.0,Domestic,94,0,,C24,2016-05-02 10:59:00,2016-05-02 12:15:00,2016-05-02 10:50:00,2016-05-02 12:19:00,959,1035,2016-05-02 15:50,2016-05-02 17:19,N477AA,56
25,AA1055,Y,PIT,DFW,1750,1855,1070,1135,1737,1846,1057.0,1126.0,2.0,Domestic,0,95,C30,,2016-05-02 18:55:00,2016-05-02 22:35:00,2016-05-02 18:46:00,2016-05-02 22:08:00,1435,155,2016-05-02 23:46,2016-05-03 02:08,N475AA,55
26,AA1057,N,DFW,MCO,0756,0900,476,540,0810,0857,490.0,537.0,2.0,,60,0,,A17,2016-05-02 05:59:00,2016-05-02 07:56:00,2016-05-02 05:59:00,2016-05-02 08:10:00,599,776,2016-05-02 09:59,2016-05-02 13:10,N134AN,90
27,AA1059,N,DFW,ONT,1405,1515,845,915,1339,1512,819.0,912.0,2.0,,57,0,,A22,2016-05-02 09:05:00,2016-05-02 14:05:00,2016-05-02 08:59:00,2016-05-02 13:39:00,965,1145,2016-05-02 15:59,2016-05-02 18:39,N982AN,93
28,AA1060,N,DFW,TUL,0805,0905,485,545,0814,0924,494.0,564.0,2.0,,27,0,,A16,2016-05-02 06:53:00,2016-05-02 08:05:00,2016-05-02 06:51:00,2016-05-02 08:14:00,713,785,2016-05-02 11:51,2016-05-02 13:14,N932AN,123
29,AA1062,Y,MCI,DFW,0540,0710,340,430,0540,0707,340.0,427.0,2.0,Domestic,0,126,C27,,2016-05-02 07:10:00,2016-05-02 08:46:00,2016-05-02 07:07:00,2016-05-02 08:31:00,730,826,2016-05-02 12:07,2016-05-02 13:31,N9620D,24
30,AA1072,Y,PHL,DFW,1555,1725,955,1045,1555,1734,955.0,1054.0,2.0,Domestic,0,119,A11,,2016-05-02 17:25:00,2016-05-02 21:42:00,2016-05-02 17:34:00,2016-05-02 21:26:00,1345,102,2016-05-02 22:34,2016-05-03 01:26,N901NN,31
31,AA1074,N,DFW,IND,0921,0951,561,591,1218,0951,738.0,2031.0,2.0,,80,0,,C27,2016-05-02 07:55:00,2016-05-02 09:21:00,2016-05-02 10:41:00,2016-05-02 12:18:00,715,861,2016-05-02 14:41,2016-05-02 17:18,N480AA,70
32,AA1075,Y,ELP,DFW,1914,1915,1154,1155,1901,1954,1141.0,1194.0,2.0,Domestic,0,84,C4,,2016-05-02 19:15:00,2016-05-02 19:58:00,2016-05-02 19:54:00,2016-05-02 20:35:00,15,118,2016-05-03 00:54,2016-05-03 02:35,N4032T,66
33,AA1077,Y,SLC,DFW,1640,1805,1000,1085,1627,1806,987.0,1086.0,2.0,Domestic,0,91,C4,,2016-05-02 18:05:00,2016-05-02 19:49:00,2016-05-02 18:06:00,2016-05-02 19:45:00,1385,109,2016-05-02 23:06,2016-05-03 01:45,N962AN,59
34,AA1078,N,DFW,EWR,1351,1421,831,861,1400,1654,840.0,1014.0,2.0,,119,0,,A10,2016-05-02 10:59:00,2016-05-02 13:51:00,2016-05-02 10:54:00,2016-05-02 14:00:00,899,1131,2016-05-02 14:54,2016-05-02 19:00,N981AN,31
35,AA1080,Y,LGA,DFW,0804,0935,484,575,0811,0936,491.0,576.0,2.0,Domestic,0,112,A20,,2016-05-02 09:35:00,2016-05-02 13:59:00,2016-05-02 09:36:00,2016-05-02 13:38:00,875,1079,2016-05-02 14:36,2016-05-02 17:38,N930NN,38
36,AA1087,N,DFW,ATL,1905,2025,1145,1225,1857,2151,1137.0,1311.0,2.0,Domestic,128,0,,A10,2016-05-02 17:37:00,2016-05-02 19:05:00,2016-05-02 17:34:00,2016-05-02 18:57:00,1297,5,2016-05-02 21:34,2016-05-02 23:57,N936AN,22
37,AA1087,Y,ATL,DFW,1233,1335,753,815,1224,1333,744.0,813.0,2.0,Domestic,0,74,A28,,2016-05-02 13:35:00,2016-05-02 16:39:00,2016-05-02 13:33:00,2016-05-02 16:32:00,1115,1239,2016-05-02 18:33,2016-05-02 20:32,N936AN,76
38,AA1094,Y,BOS,DFW,1020,1150,620,710,0955,1245,595.0,765.0,2.0,Domestic,0,81,A13,,2016-05-02 11:50:00,2016-05-02 16:30:00,2016-05-02 12:45:00,2016-05-02 17:10:00,1010,1230,2016-05-02 17:45,2016-05-02 21:10,N140AN,69
39,AA1099,N,DFW,ORF,0935,1025,575,625,0953,1033,593.0,633.0,2.0,,46,0,,C10,2016-05-02 07:07:00,2016-05-02 09:35:00,2016-05-02 07:14:00,2016-05-02 09:53:00,667,875,2016-05-02 11:14,2016-05-02 14:53,N494AA,104
40,AA1100,Y,MSY,DFW,0850,1020,530,620,0850,1018,530.0,618.0,2.0,Domestic,0,66,C14,,2016-05-02 10:20:00,2016-05-02 11:47:00,2016-05-02 10:18:00,2016-05-02 11:32:00,920,1007,2016-05-02 15:18,2016-05-02 16:32,N9015D,84
41,AA1101,N,DFW,ABQ,1910,2020,1150,1220,1912,2015,1152.0,1215.0,2.0,Domestic,70,0,,C30,2016-05-02 16:17:00,2016-05-02 19:10:00,2016-05-02 16:09:00,2016-05-02 19:12:00,1337,10,2016-05-02 22:09,2016-05-03 00:12,N954U,80
42,AA1101,Y,ABQ,DFW,1315,1445,795,885,1315,1440,795.0,880.0,2.0,Domestic,0,98,C7,,2016-05-02 14:45:00,2016-05-02 15:33:00,2016-05-02 14:40:00,2016-05-02 15:33:00,1185,1293,2016-05-02 19:40,2016-05-02 21:33,N954U,52
43,AA1102,N,DFW,AUS,0608,0705,368,425,0614,0701,374.0,421.0,2.0,,0,0,,A33,2016-05-02 05:05:00,2016-05-02 06:08:00,2016-05-02 05:01:00,2016-05-02 06:14:00,605,668,2016-05-02 10:01,2016-05-02 11:14,N817NN,151
44,AA1104,Y,LGA,DFW,0600,0730,360,450,0600,0731,360.0,451.0,2.0,Domestic,0,100,A10,,2016-05-02 07:30:00,2016-05-02 11:55:00,2016-05-02 07:31:00,2016-05-02 11:55:00,750,955,2016-05-02 12:31,2016-05-02 15:55,N920AN,50
45,AA1106,N,DFW,BWI,2053,2123,1253,1283,0247,2123,167.0,1283.0,2.0,,99,0,,C7,2016-05-02 18:20:00,2016-05-02 20:53:00,2016-05-02 23:55:00,2016-05-03 02:47:00,1340,113,2016-05-03 03:55,2016-05-03 07:47,N864NN,51
46,AA1112,N,DFW,LGA,1800,1915,1080,1155,1803,1911,1083.0,1151.0,2.0,,104,0,,A25,2016-05-02 14:59:00,2016-05-02 18:00:00,2016-05-02 14:56:00,2016-05-02 18:03:00,1139,1380,2016-05-02 18:56,2016-05-02 23:03,N930NN,46
