A8,A9,A10,A11,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A28,A29,A33,A34,A35,A36,A37,A38,A39,B1,B2,B3,B4,B5,B6,B7,B9,B10,B11,B12,B14,B16,B17,B18,B19,B21,B22,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B42,B43,B44,B46,B47,B48,B49,C2,C4,C6,C7,C8,C10,C11,C12,C14,C15,C16,C17,C19,C20,C21,C22,C24,C26,C27,C28,C29,C30,C31,C33,C35,C36,C37,C39
0.0,76.0,126.0,156.0,233.0,248.0,260.0,275.0,321.0,349.0,377.0,405.0,461.0,488.0,517.0,544.0,601.0,650.0,697.0,719.0,876.0,894.0,912.0,956.0,964.0,1008.0,2016.0,1994.0,1966.0,1809.0,1766.0,1737.0,1718.0,1642.0,1642.0,1629.0,1609.0,1548.0,1523.0,1505.0,1471.0,1445.0,1426.0,1388.0,1369.0,1326.0,1309.0,1306.0,1287.0,1276.0,1376.0,1378.0,1368.0,1347.0,1336.0,1335.0,1314.0,1315.0,1315.0,1313.0,1296.0,1280.0,1294.0,1332.0,1365.0,1387.0,1411.0,1411.0,1283.0,1353.0,1321.0,1269.0,1274.0,1284.0,1264.0,1249.0,1251.0,1292.0,1296.0,1340.0,1391.0,1391.0,1442.0,1442.0,1493.0,1535.0,1544.0,1589.0,1596.0,1613.0,1627.0,1689.0,1728.0,1764.0,1806.0,1827.0
76.0,0.0,50.0,80.0,157.0,172.0,184.0,199.0,245.0,273.0,301.0,329.0,385.0,412.0,441.0,468.0,525.0,574.0,621.0,643.0,800.0,818.0,836.0,880.0,888.0,932.0,1940.0,1918.0,1890.0,1733.0,1690.0,1661.0,1642.0,1566.0,1566.0,1553.0,1533.0,1472.0,1447.0,1429.0,1395.0,1369.0,1350.0,1312.0,1293.0,1250.0,1233.0,1230.0,1211.0,1200.0,1300.0,1302.0,1292.0,1271.0,1260.0,1259.0,1238.0,1239.0,1239.0,1237.0,1220.0,1204.0,1218.0,1256.0,1289.0,1311.0,1335.0,1335.0,1207.0,1277.0,1245.0,1193.0,1198.0,1208.0,1188.0,1173.0,1175.0,1216.0,1220.0,1264.0,1315.0,1315.0,1366.0,1366.0,1417.0,1459.0,1468.0,1513.0,1520.0,1537.0,1551.0,1613.0,1652.0,1688.0,1730.0,1751.0
126.0,50.0,0.0,30.0,107.0,122.0,134.0,149.0,195.0,223.0,251.0,279.0,335.0,362.0,391.0,418.0,475.0,524.0,571.0,593.0,750.0,768.0,786.0,830.0,838.0,882.0,1890.0,1868.0,1840.0,1683.0,1640.0,1611.0,1592.0,1516.0,1516.0,1503.0,1483.0,1422.0,1397.0,1379.0,1345.0,1319.0,1300.0,1262.0,1243.0,1200.0,1183.0,1180.0,1161.0,1150.0,1250.0,1252.0,1242.0,1221.0,1210.0,1209.0,1188.0,1189.0,1189.0,1187.0,1170.0,1154.0,1168.0,1206.0,1239.0,1261.0,1285.0,1285.0,1157.0,1227.0,1195.0,1143.0,1148.0,1158.0,1138.0,1123.0,1125.0,1166.0,1170.0,1214.0,1265.0,1265.0,1316.0,1316.0,1367.0,1409.0,1418.0,1463.0,1470.0,1487.0,1501.0,1563.0,1602.0,1638.0,1680.0,1701.0
156.0,80.0,30.0,0.0,77.0,92.0,104.0,119.0,165.0,193.0,221.0,249.0,305.0,332.0,361.0,388.0,445.0,494.0,541.0,563.0,720.0,738.0,756.0,800.0,808.0,852.0,1860.0,1838.0,1810.0,1653.0,1610.0,1581.0,1562.0,1486.0,1486.0,1473.0,1453.0,1392.0,1367.0,1349.0,1315.0,1289.0,1270.0,1232.0,1213.0,1170.0,1153.0,1150.0,1131.0,1120.0,1220.0,1222.0,1212.0,1191.0,1180.0,1179.0,1158.0,1159.0,1159.0,1157.0,1140.0,1124.0,1138.0,1176.0,1209.0,1231.0,1255.0,1255.0,1127.0,1197.0,1165.0,1113.0,1118.0,1128.0,1108.0,1093.0,1095.0,1136.0,1140.0,1184.0,1235.0,1235.0,1286.0,1286.0,1337.0,1379.0,1388.0,1433.0,1440.0,1457.0,1471.0,1533.0,1572.0,1608.0,1650.0,1671.0
233.0,157.0,107.0,77.0,0.0,15.0,27.0,42.0,88.0,116.0,144.0,172.0,228.0,255.0,284.0,311.0,368.0,417.0,464.0,486.0,643.0,661.0,679.0,723.0,731.0,775.0,1783.0,1761.0,1733.0,1576.0,1533.0,1504.0,1485.0,1409.0,1409.0,1396.0,1376.0,1315.0,1290.0,1272.0,1238.0,1212.0,1193.0,1155.0,1136.0,1093.0,1076.0,1073.0,1054.0,1043.0,1143.0,1145.0,1135.0,1114.0,1103.0,1102.0,1081.0,1082.0,1082.0,1080.0,1063.0,1047.0,1061.0,1099.0,1132.0,1154.0,1178.0,1178.0,1050.0,1120.0,1088.0,1036.0,1041.0,1051.0,1031.0,1016.0,1018.0,1059.0,1063.0,1107.0,1158.0,1158.0,1209.0,1209.0,1260.0,1302.0,1311.0,1356.0,1363.0,1380.0,1394.0,1456.0,1495.0,1531.0,1573.0,1594.0
248.0,172.0,122.0,92.0,15.0,0.0,12.0,27.0,73.0,101.0,129.0,157.0,213.0,240.0,269.0,296.0,353.0,402.0,449.0,471.0,628.0,646.0,664.0,708.0,716.0,760.0,1768.0,1746.0,1718.0,1561.0,1518.0,1489.0,1470.0,1394.0,1394.0,1381.0,1361.0,1300.0,1275.0,1257.0,1223.0,1197.0,1178.0,1140.0,1121.0,1078.0,1061.0,1058.0,1039.0,1028.0,1128.0,1130.0,1120.0,1099.0,1088.0,1087.0,1066.0,1067.0,1067.0,1065.0,1048.0,1032.0,1046.0,1084.0,1117.0,1139.0,1163.0,1163.0,1035.0,1105.0,1073.0,1021.0,1026.0,1036.0,1016.0,1001.0,1003.0,1044.0,1048.0,1092.0,1143.0,1143.0,1194.0,1194.0,1245.0,1287.0,1296.0,1341.0,1348.0,1365.0,1379.0,1441.0,1480.0,1516.0,1558.0,1579.0
260.0,184.0,134.0,104.0,27.0,12.0,0.0,15.0,61.0,89.0,117.0,145.0,201.0,228.0,257.0,284.0,341.0,390.0,437.0,459.0,616.0,634.0,652.0,696.0,704.0,748.0,1756.0,1734.0,1706.0,1549.0,1506.0,1477.0,1458.0,1382.0,1382.0,1369.0,1349.0,1288.0,1263.0,1245.0,1211.0,1185.0,1166.0,1128.0,1109.0,1066.0,1049.0,1046.0,1027.0,1016.0,1116.0,1118.0,1108.0,1087.0,1076.0,1075.0,1054.0,1055.0,1055.0,1053.0,1036.0,1020.0,1034.0,1072.0,1105.0,1127.0,1151.0,1151.0,1023.0,1093.0,1061.0,1009.0,1014.0,1024.0,1004.0,989.0,991.0,1032.0,1036.0,1080.0,1131.0,1131.0,1182.0,1182.0,1233.0,1275.0,1284.0,1329.0,1336.0,1353.0,1367.0,1429.0,1468.0,1504.0,1546.0,1567.0
275.0,199.0,149.0,119.0,42.0,27.0,15.0,0.0,46.0,74.0,102.0,130.0,186.0,213.0,242.0,269.0,326.0,375.0,422.0,444.0,601.0,619.0,637.0,681.0,689.0,733.0,1741.0,1719.0,1691.0,1534.0,1491.0,1462.0,1443.0,1367.0,1367.0,1354.0,1334.0,1273.0,1248.0,1230.0,1196.0,1170.0,1151.0,1113.0,1094.0,1051.0,1034.0,1031.0,1012.0,1001.0,1101.0,1103.0,1093.0,1072.0,1061.0,1060.0,1039.0,1040.0,1040.0,1038.0,1021.0,1005.0,1019.0,1057.0,1090.0,1112.0,1136.0,1136.0,1008.0,1078.0,1046.0,994.0,999.0,1009.0,989.0,974.0,976.0,1017.0,1021.0,1065.0,1116.0,1116.0,1167.0,1167.0,1218.0,1260.0,1269.0,1314.0,1321.0,1338.0,1352.0,1414.0,1453.0,1489.0,1531.0,1552.0
321.0,245.0,195.0,165.0,88.0,73.0,61.0,46.0,0.0,28.0,56.0,84.0,140.0,167.0,196.0,223.0,280.0,329.0,376.0,398.0,555.0,573.0,591.0,635.0,643.0,687.0,1708.0,1686.0,1658.0,1501.0,1458.0,1429.0,1410.0,1334.0,1334.0,1321.0,1301.0,1268.0,1243.0,1225.0,1191.0,1165.0,1146.0,1108.0,1089.0,1046.0,1029.0,1026.0,1007.0,996.0,1096.0,1098.0,1088.0,1067.0,1056.0,1055.0,1034.0,1035.0,1035.0,1033.0,1016.0,1000.0,1014.0,1052.0,1085.0,1107.0,1131.0,1131.0,962.0,1032.0,1000.0,948.0,953.0,963.0,943.0,928.0,930.0,971.0,975.0,1019.0,1070.0,1070.0,1121.0,1121.0,1172.0,1214.0,1223.0,1268.0,1275.0,1292.0,1306.0,1368.0,1407.0,1443.0,1485.0,1506.0
349.0,273.0,223.0,193.0,116.0,101.0,89.0,74.0,28.0,0.0,28.0,56.0,112.0,139.0,168.0,195.0,252.0,301.0,348.0,370.0,527.0,545.0,563.0,607.0,615.0,659.0,1680.0,1658.0,1630.0,1473.0,1430.0,1401.0,1382.0,1306.0,1306.0,1293.0,1273.0,1296.0,1271.0,1253.0,1219.0,1193.0,1174.0,1136.0,1117.0,1074.0,1057.0,1054.0,1035.0,1024.0,1124.0,1126.0,1116.0,1095.0,1084.0,1083.0,1062.0,1063.0,1063.0,1061.0,1044.0,1028.0,1042.0,1080.0,1113.0,1135.0,1159.0,1159.0,934.0,1004.0,972.0,920.0,925.0,935.0,915.0,900.0,902.0,943.0,947.0,991.0,1042.0,1042.0,1093.0,1093.0,1144.0,1186.0,1195.0,1240.0,1247.0,1264.0,1278.0,1340.0,1379.0,1415.0,1457.0,1478.0
